Trial no,Scaling_Method,CV_Accuracy_Mean,CV_Accuracy_Std,Test_Accuracy,Test_Precision,Test_F1,Test_Recall,Best_Params
500,RobustScaler,0.8421714119143283,0.003404800699697322,0.8472667713096295,0.8391456383539929,0.8357073915230664,0.8472667713096295,"{'n_estimators': 300, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,QuantileTransformer (Uniform),0.8421714290261132,0.003171103437346458,0.8459701085102027,0.8377092056003522,0.8339037196406294,0.8459701085102027,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,QuantileTransformer (Normal),0.8431366534730529,0.003339461230965526,0.8473350167201256,0.8390926978043292,0.8362825984070696,0.8473350167201256,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,No Scaling,0.8424639164862764,0.003486134394394165,0.8466525626151641,0.8384832164315955,0.8347978885251705,0.8466525626151641,"{'n_estimators': 300, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,MaxAbsScaler,0.8429611464519379,0.0035084175680024973,0.8465160717941719,0.8381274583162226,0.8353530320291304,0.8465160717941719,"{'n_estimators': 250, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,StandardScaler,0.8430489213522263,0.0029868398726812058,0.8474032621306217,0.8392018625778971,0.8362408233913373,0.8474032621306217,"{'n_estimators': 250, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,MinMaxScaler,0.843136640639214,0.002804023972396171,0.8467208080256603,0.8385199172428794,0.8350156543687469,0.8467208080256603,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,RobustScaler,0.8426686718256132,0.003053939267849447,0.8467890534361564,0.8385746115049664,0.8351804881665902,0.8467890534361564,"{'n_estimators': 300, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,QuantileTransformer (Uniform),0.8429026883170103,0.003489483047900624,0.8465160717941719,0.8383097561857842,0.8346771611955753,0.8465160717941719,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,QuantileTransformer (Normal),0.8437508638777622,0.0037756875508576228,0.847539752951614,0.8393848700304051,0.8363104654709361,0.847539752951614,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
